Year,Sales
2017-01,2815
2017-02,2672
2017-03,2755
2017-04,2721
2017-05,2946
2017-06,3036
2017-07,2282
2017-08,2212
2017-09,2922
2017-10,4301
2017-11,5764
2017-12,7312
2018-01,2541
2018-02,2475
2018-03,3031
2018-04,3266
2018-05,3776
2018-06,3230
2018-07,3028
2018-08,1759
2018-09,3595
2018-10,4474
2018-11,6838
2018-12,8357
2019-01,3113
2019-02,3006
2019-03,4047
2019-04,3523
2019-05,3937
2019-06,3986
2019-07,3260
2019-08,1573
2019-09,3528
2019-10,5211
2019-11,7614
2019-12,9254
2020-01,5375
2020-02,3088
2020-03,3718
2020-04,4514
2020-05,4520
2020-06,4539
2020-07,3663
2020-08,1643
2020-09,4739
2020-10,5428
2020-11,8314
2020-12,10651
2021-01,3633
2021-02,4292
2021-03,4154
2021-04,4121
2021-05,4647
2021-06,4753
2021-07,3965
2021-08,1723
2021-09,5048
2021-10,6922
2021-11,9858
2021-12,11331
2022-01,4016
2022-02,3957
2022-03,4510
2022-04,4276
2022-05,4968
2022-06,4677
2022-07,3523
2022-08,1821
2022-09,5222
2022-10,6872
2022-11,10803
2022-12,13916
2023-01,2639
2023-02,2899
2023-03,3370
2023-04,3740
2023-05,2927
2023-06,3986
2023-07,4217
2023-08,1738
2023-09,5221
2023-10,6424
2023-11,9842
2023-12,13076
2024-01,3934
2024-02,3162
2024-03,4286
2024-04,4676
2024-05,5010
2024-06,4874
2024-07,4633
2024-08,1659
2024-09,5951
2024-10,6981
2024-11,9851
2024-12,12670
2024-01,4348
2024-02,3564
2024-03,4577
2024-04,4788
2024-05,4618
2024-06,5312
2024-07,4298
2024-08,1413
2024-09,5877
